(-20.000000,42.000000,136.000000),(0.089007,-0.308552,-0.926138,-0.197844),(80,0),(0,0),(0,0)
(-34.000000,38.000000,133.000000),(0.048074,-0.374932,-0.925335,-0.029489),(81,0),(0,0),(0,0)
(-37.000000,36.000000,141.000000),(0.139729,-0.354525,-0.916264,-0.123480),(82,0),(0,0),(0,0)
(5.000000,34.000000,132.000000),(0.004581,-0.291091,-0.948758,-0.122893),(82,1),(0,0),(0,0)
(9.000000,40.000000,110.000000),(0.140256,-0.206213,-0.966633,-0.058529),(83,1),(0,0),(0,0)
(9.000000,46.000000,104.000000),(-0.028962,-0.249541,-0.948849,-0.191250),(83,2),(0,0),(0,0)
(10.000000,47.000000,104.000000),(-0.001369,-0.279575,-0.943120,-0.179891),(83,3),(0,0),(0,0)
(6.000000,46.000000,106.000000),(-0.069383,-0.251112,-0.927796,-0.267064),(83,4),(0,0),(0,0)
(-32.000000,52.000000,80.000000),(-0.241192,-0.260001,-0.905425,-0.233306),(83,5),(0,0),(0,0)
(-26.000000,48.000000,77.000000),(-0.162506,-0.138120,-0.933636,-0.287816),(83,6),(0,0),(0,0)
(-18.000000,65.000000,81.000000),(-0.075857,-0.057012,-0.885660,-0.454536),(83,7),(0,0),(0,0)
(-19.000000,71.000000,79.000000),(-0.253229,-0.046345,-0.840328,-0.477050),(83,8),(0,0),(0,0)
(-17.000000,68.000000,84.000000),(-0.368253,0.011723,-0.762395,-0.531983),(83,9),(0,0),(0,0)
(-17.000000,62.000000,78.000000),(-0.385494,0.057692,-0.821840,-0.415506),(84,9),(0,0),(0,0)
(-11.000000,51.000000,69.000000),(1.000000,0.000000,0.000000,0.000000),(0,1),(0,0),(0,0)
(-1.000000,52.000000,72.000000),(0.984817,-0.171883,-0.017188,-0.017188),(0,2),(0,0),(0,0)
(1.000000,50.000000,81.000000),(0.956472,-0.273979,-0.100401,-0.003952),(0,3),(0,0),(0,0)
(4.000000,49.000000,78.000000),(0.964680,-0.250353,-0.031182,-0.075787),(0,4),(0,0),(0,0)
(12.000000,45.000000,77.000000),(0.917051,-0.355283,-0.164100,-0.076567),(0,5),(0,0),(0,0)
(-67.000000,51.000000,22.000000),(1.000000,0.000000,0.000000,0.000000),(1,0),(0,0),(0,0)
(-30.000000,52.000000,25.000000),(0.984817,-0.171883,-0.017188,-0.017188),(2,0),(0,0),(0,0)
(-28.000000,50.000000,34.000000),(0.956472,-0.273979,-0.100401,-0.003952),(3,0),(0,0),(0,0)
